decision	category	slug	title	source	reason
ADD	active-directory	esc9-no-security-extension-template-level	ESC9 — No Security Extension (Template-Level)	ActiveDirectory/ACL-ESC-Techniques/ESC9 — No Security Extension (Template-Level).md	advanced · 5 tools
ADD	active-directory	golden-certificate-attack-dpersist1	Golden Certificate Attack — DPERSIST1	ActiveDirectory/ACL-ESC-Techniques/Golden Certificate Attack — DPERSIST1.md	advanced · 5 tools
ADD	active-directory	persist1-active-user-credential-theft-via-certificates	PERSIST1 — Active User Credential Theft via Certificates	ActiveDirectory/ACL-ESC-Techniques/PERSIST1 — Active User Credential Theft via Certificates.md	advanced · 3 tools
ADD	active-directory	persist2-machine-account-persistence-via-certificates	PERSIST2 — Machine Account Persistence via Certificates	ActiveDirectory/ACL-ESC-Techniques/PERSIST2 — Machine Account Persistence via Certificates.md	advanced · 3 tools
ADD	active-directory	persist3-account-persistence-via-certificate-renewal	PERSIST3 — Account Persistence via Certificate Renewal	ActiveDirectory/ACL-ESC-Techniques/PERSIST3 — Account Persistence via Certificate Renewal.md	advanced · 3 tools
ADD	active-directory	shadow-credentials-msds-keycredentiallink-abuse	Shadow Credentials — msDS-KeyCredentialLink Abuse	ActiveDirectory/ACL-ESC-Techniques/Shadow Credentials — msDS-KeyCredentialLink Abuse.md	advanced · 4 tools
ADD	active-directory	theft1-exporting-certificates-and-keys	THEFT1 — Exporting Certificates and Keys	ActiveDirectory/ACL-ESC-Techniques/THEFT1 — Exporting Certificates and Keys.md	advanced · 4 tools
ADD	active-directory	theft2-user-certificate-theft-via-dpapi	THEFT2 — User Certificate Theft via DPAPI	ActiveDirectory/ACL-ESC-Techniques/THEFT2 — User Certificate Theft via DPAPI.md	advanced · 4 tools
ADD	active-directory	theft3-machine-certificate-theft-via-dpapi	THEFT3 — Machine Certificate Theft via DPAPI	ActiveDirectory/ACL-ESC-Techniques/THEFT3 — Machine Certificate Theft via DPAPI.md	advanced · 3 tools
ADD	active-directory	theft4-finding-certificate-files	THEFT4 — Finding Certificate Files	ActiveDirectory/ACL-ESC-Techniques/THEFT4 — Finding Certificate Files.md	advanced · 5 tools
ADD	active-directory	theft5-ntlm-theft-via-pkinit-unpac-the-hash	THEFT5 — NTLM Theft via PKINIT (UnPAC-the-Hash)	ActiveDirectory/ACL-ESC-Techniques/THEFT5 — NTLM Theft via PKINIT (UnPAC-the-Hash).md	advanced · 5 tools
SKIP				ActiveDirectory/ACL-ESC-Techniques/_ADCS Attack Methodology Guide.md	non-sheet (meta/index/roadmap)
SKIP				ActiveDirectory/ACL-ESC-Techniques/_ADCS Dashboard.md	non-sheet (meta/index/roadmap)
SKIP				ActiveDirectory/ACL-ESC-Techniques/_ADCS ESC Attack Index.md	non-sheet (meta/index/roadmap)
ADD	active-directory	attack-61-skeleton-key-attack	Attack #61 — Skeleton Key Attack	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #61 — Skeleton Key Attack.md	advanced · 2 tools
ADD	active-directory	attack-62-dsrm-backdoor-abuse	Attack #62 — DSRM Backdoor Abuse	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #62 — DSRM Backdoor Abuse.md	advanced · 3 tools
ADD	active-directory	attack-63-sid-history-injection	Attack #63 — SID History Injection	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #63 — SID History Injection.md	advanced · 2 tools
ADD	active-directory	attack-64-golden-ticket-persistence	Attack #64 — Golden Ticket Persistence	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #64 — Golden Ticket Persistence.md	advanced · 3 tools
ADD	active-directory	attack-65-acl-backdooring-persistence-via-dcsync-ace	Attack #65 — ACL Backdooring (Persistence via DCSync ACE)	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #65 — ACL Backdooring (Persistence via DCSync ACE).md	advanced · 1 tools
ADD	active-directory	attack-66-malicious-gpo-creation	Attack #66 — Malicious GPO Creation	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #66 — Malicious GPO Creation.md	advanced · 2 tools
ADD	active-directory	attack-67-adcs-certificate-based-persistence	Attack #67 — ADCS Certificate-Based Persistence	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #67 — ADCS Certificate-Based Persistence.md	advanced · 4 tools
ADD	active-directory	attack-37-dcsync-attack	Attack #37 — DCSync Attack	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #37 — DCSync Attack.md	advanced · 5 tools
ADD	active-directory	attack-38-dcshadow-attack	Attack #38 — DCShadow Attack	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #38 — DCShadow Attack.md	advanced · 3 tools
ADD	active-directory	attack-39-ntds-dit-extraction-and-dumping	Attack #39 — NTDS.dit Extraction and Dumping	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #39 — NTDS.dit Extraction and Dumping.md	advanced · 3 tools
ADD	active-directory	attack-40-zerologon-cve-2020-1472	Attack #40 — Zerologon (CVE-2020-1472)	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #40 — Zerologon (CVE-2020-1472).md	advanced · 4 tools
ADD	active-directory	attack-41-petitpotam-cve-2021-36942	Attack #41 — PetitPotam (CVE-2021-36942)	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #41 — PetitPotam (CVE-2021-36942).md	advanced · 5 tools
ADD	active-directory	attack-42-printerbug-spoolsample	Attack #42 — PrinterBug SpoolSample	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #42 — PrinterBug SpoolSample.md	advanced · 5 tools
ADD	active-directory	attack-43-printnightmare-cve-2021-34527	Attack #43 — PrintNightmare (CVE-2021-34527)	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #43 — PrintNightmare (CVE-2021-34527).md	advanced · 5 tools
ADD	active-directory	attack-44-nopac-sam-the-admin-cve-2021-42278-42287	Attack #44 — noPAC Sam-the-Admin (CVE-2021-42278 42287)	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #44 — noPAC Sam-the-Admin (CVE-2021-42278 42287).md	advanced · 5 tools
ADD	active-directory	attack	Attack	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack.md	advanced · 0 tools
ADD	active-directory	attack-27-esc1-san-specification-in-template	Attack #27 — ESC1 SAN Specification in Template	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #27 — ESC1 SAN Specification in Template.md	advanced · 5 tools
ADD	active-directory	attack-28-esc2-any-purpose-eku-no-eku	Attack #28 — ESC2 Any Purpose EKU No EKU	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #28 — ESC2 Any Purpose EKU No EKU.md	advanced · 3 tools
ADD	active-directory	attack-29-esc3-certificate-request-agent	Attack #29 — ESC3 Certificate Request Agent	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #29 — ESC3 Certificate Request Agent.md	advanced · 3 tools
ADD	active-directory	attack-30-esc4-template-write-permissions	Attack #30 — ESC4 Template Write Permissions	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #30 — ESC4 Template Write Permissions.md	advanced · 1 tools
ADD	active-directory	attack-31-esc6-editf-attributesubjectaltname2-flag	Attack #31 — ESC6 EDITF_ATTRIBUTESUBJECTALTNAME2 Flag	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #31 — ESC6 EDITF_ATTRIBUTESUBJECTALTNAME2 Flag.md	advanced · 3 tools
ADD	active-directory	attack-32-esc7-vulnerable-ca-officer-permissions	Attack #32 — ESC7 Vulnerable CA Officer Permissions	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #32 — ESC7 Vulnerable CA Officer Permissions.md	advanced · 1 tools
ADD	active-directory	attack-33-esc8-ntlm-relay-to-adcs-http-endpoint	Attack #33 — ESC8 NTLM Relay to ADCS HTTP Endpoint	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #33 — ESC8 NTLM Relay to ADCS HTTP Endpoint.md	advanced · 2 tools
ADD	active-directory	attack-34-esc11-ntlm-relay-to-adcs-rpc	Attack #34 — ESC11 NTLM Relay to ADCS RPC	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #34 — ESC11 NTLM Relay to ADCS RPC.md	advanced · 2 tools
ADD	active-directory	attack-35-golden-certificate-attack	Attack #35 — Golden Certificate Attack	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #35 — Golden Certificate Attack.md	advanced · 4 tools
ADD	active-directory	attack-36-certifried-cve-2022-26923	Attack #36 — Certifried (CVE-2022-26923)	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #36 — Certifried (CVE-2022-26923).md	advanced · 2 tools
ADD	active-directory	attack-68-cross-domain-trust-abuse-sid-history	Attack #68 — Cross-Domain Trust Abuse (SID History)	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #68 — Cross-Domain Trust Abuse (SID History).md	advanced · 3 tools
ADD	active-directory	attack-69-forest-trust-abuse-cross-forest-ticket-forging	Attack #69 — Forest Trust Abuse Cross-Forest Ticket Forging	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #69 — Forest Trust Abuse Cross-Forest Ticket Forging.md	advanced · 4 tools
ADD	active-directory	attack-70-adcs-cross-domain-enrollment	Attack #70 — ADCS Cross-Domain Enrollment	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #70 — ADCS Cross-Domain Enrollment.md	advanced · 1 tools
ADD	active-directory	attack-71-pam-trust-abuse-bastion-forest	Attack #71 — PAM Trust Abuse (Bastion Forest)	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #71 — PAM Trust Abuse (Bastion Forest).md	advanced · 1 tools
ADD	active-directory	attack-1-password-spraying	Attack #1 — Password Spraying	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #1 — Password Spraying.md	advanced · 5 tools
ADD	active-directory	attack-10-credential-hunting-in-shares-gpp-passwords	Attack #10 — Credential Hunting in Shares GPP Passwords	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #10 — Credential Hunting in Shares  GPP Passwords.md	advanced · 5 tools
ADD	active-directory	attack-2-kerberoasting	Attack #2 — Kerberoasting	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #2 — Kerberoasting.md	advanced · 5 tools
ADD	active-directory	attack-3-as-rep-roasting	Attack #3 — AS-REP Roasting	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #3 — AS-REP Roasting.md	advanced · 5 tools
ADD	active-directory	attack-4-pass-the-hash-pth	Attack #4 — Pass-the-Hash (PtH)	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #4 — Pass-the-Hash (PtH).md	advanced · 5 tools
ADD	active-directory	attack-5-pass-the-ticket-ptt	Attack #5 — Pass-the-Ticket (PtT)	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #5 — Pass-the-Ticket (PtT).md	advanced · 5 tools
ADD	active-directory	attack-6-overpass-the-hash-pass-the-key	Attack #6 — Overpass-the-Hash (Pass-the-Key)	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #6 — Overpass-the-Hash (Pass-the-Key).md	advanced · 5 tools
ADD	active-directory	attack-7-ntlm-relay-attacks	Attack #7 — NTLM Relay Attacks	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #7 — NTLM Relay Attacks.md	advanced · 5 tools
ADD	active-directory	attack-8-llmnr-nbt-ns-mdns-poisoning	Attack #8 — LLMNR NBT-NS mDNS Poisoning	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #8 — LLMNR  NBT-NS  mDNS Poisoning.md	advanced · 5 tools
ADD	active-directory	attack-9-mitm6-ipv6-dns-spoofing-dhcpv6-takeover	Attack #9 — mitm6 (IPv6 DNS Spoofing DHCPv6 Takeover)	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #9 — mitm6 (IPv6 DNS Spoofing  DHCPv6 Takeover).md	advanced · 5 tools
ADD	active-directory	attack-54-psexec-remote-execution-via-smb	Attack #54 — PsExec Remote Execution via SMB	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #54 — PsExec Remote Execution via SMB.md	advanced · 5 tools
ADD	active-directory	attack-55-winrm-evil-winrm-lateral-movement	Attack #55 — WinRM Evil-WinRM Lateral Movement	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #55 — WinRM Evil-WinRM Lateral Movement.md	advanced · 3 tools
ADD	active-directory	attack-56-rdp-lateral-movement-and-hijacking	Attack #56 — RDP Lateral Movement and Hijacking	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #56 — RDP Lateral Movement and Hijacking.md	advanced · 2 tools
ADD	active-directory	attack-57-dcom-lateral-movement	Attack #57 — DCOM Lateral Movement	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #57 — DCOM Lateral Movement.md	advanced · 2 tools
ADD	active-directory	attack-58-wmi-lateral-movement	Attack #58 — WMI Lateral Movement	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #58 — WMI Lateral Movement.md	advanced · 2 tools
ADD	active-directory	attack-59-scm-service-manager-lateral-movement	Attack #59 — SCM Service Manager Lateral Movement	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #59 — SCM Service Manager Lateral Movement.md	advanced · 2 tools
ADD	active-directory	attack-60-token-stealing-and-impersonation	Attack #60 — Token Stealing and Impersonation	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #60 — Token Stealing and Impersonation.md	advanced · 3 tools
ADD	active-directory	attack-45-token-impersonation-seimpersonateprivilege	Attack #45 — Token Impersonation (SeImpersonatePrivilege)	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #45 — Token Impersonation (SeImpersonatePrivilege).md	advanced · 5 tools
ADD	active-directory	attack-46-dnsadmins-dll-injection	Attack #46 — DNSAdmins DLL Injection	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #46 — DNSAdmins DLL Injection.md	advanced · 1 tools
ADD	active-directory	attack-47-machineaccountquota-maq-abuse	Attack #47 — MachineAccountQuota (MAQ) Abuse	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #47 — MachineAccountQuota (MAQ) Abuse.md	advanced · 2 tools
ADD	active-directory	attack-48-gpp-password-decryption	Attack #48 — GPP Password Decryption	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #48 — GPP Password Decryption.md	advanced · 3 tools
ADD	active-directory	attack-49-abusing-backup-operators-group	Attack #49 — Abusing Backup Operators Group	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #49 — Abusing Backup Operators Group.md	advanced · 2 tools
ADD	active-directory	attack-50-abusing-account-operators-group	Attack #50 — Abusing Account Operators Group	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #50 — Abusing Account Operators Group.md	advanced · 2 tools
ADD	active-directory	attack-51-abusing-server-operators-group	Attack #51 — Abusing Server Operators Group	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #51 — Abusing Server Operators Group.md	advanced · 1 tools
ADD	active-directory	attack-52-abusing-print-operators-group	Attack #52 — Abusing Print Operators Group	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #52 — Abusing Print Operators Group.md	advanced · 1 tools
ADD	active-directory	attack-53-exchange-windows-permissions-writedacl-to-dcsync	Attack #53 — Exchange Windows Permissions (WriteDACL to DCSync)	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #53 — Exchange Windows Permissions (WriteDACL to DCSync).md	advanced · 3 tools
ADD	active-directory	attack-72-laps-password-extraction	Attack #72 — LAPS Password Extraction	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #72 — LAPS Password Extraction.md	advanced · 3 tools
ADD	active-directory	attack-73-gmsa-password-extraction	Attack #73 — gMSA Password Extraction	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #73 — gMSA Password Extraction.md	advanced · 2 tools
ADD	active-directory	attack-74-azure-ad-connect-credential-extraction	Attack #74 — Azure AD Connect Credential Extraction	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #74 — Azure AD Connect Credential Extraction.md	advanced · 3 tools
ADD	active-directory	attack-75-sccm-mecm-exploitation	Attack #75 — SCCM MECM Exploitation	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #75 — SCCM MECM Exploitation.md	advanced · 1 tools
ADD	active-directory	attack-76-mssql-server-and-linked-server-abuse	Attack #76 — MSSQL Server and Linked Server Abuse	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #76 — MSSQL Server and Linked Server Abuse.md	advanced · 3 tools
ADD	active-directory	attack-77-dfscoerce-ms-dfsnm-coercion	Attack #77 — DFSCoerce MS-DFSNM Coercion	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #77 — DFSCoerce MS-DFSNM Coercion.md	advanced · 0 tools
ADD	active-directory	attack-78-ad-recycle-bin-object-abuse	Attack #78 — AD Recycle Bin Object Abuse	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #78 — AD Recycle Bin Object Abuse.md	advanced · 3 tools
ADD	active-directory	attack-19-genericall-abuse	Attack #19 — GenericAll Abuse	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #19 — GenericAll Abuse.md	advanced · 5 tools
ADD	active-directory	attack-20-genericwrite-abuse	Attack #20 — GenericWrite Abuse	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #20 — GenericWrite Abuse.md	advanced · 4 tools
ADD	active-directory	attack-21-writedacl-abuse	Attack #21 — WriteDACL Abuse	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #21 — WriteDACL Abuse.md	advanced · 4 tools
ADD	active-directory	attack-22-writeowner-abuse	Attack #22 — WriteOwner Abuse	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #22 — WriteOwner Abuse.md	advanced · 2 tools
ADD	active-directory	attack-23-forcechangepassword-abuse	Attack #23 — ForceChangePassword Abuse	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #23 — ForceChangePassword Abuse.md	advanced · 2 tools
ADD	active-directory	attack-24-allextendedrights-dcsync-ace-abuse	Attack #24 — AllExtendedRights DCSync ACE Abuse	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #24 — AllExtendedRights DCSync ACE Abuse.md	advanced · 4 tools
ADD	active-directory	attack-25-shadow-credentials-attack-msds-keycredentiallink	Attack #25 — Shadow Credentials Attack (msDS-KeyCredentialLink)	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #25 — Shadow Credentials Attack (msDS-KeyCredentialLink).md	advanced · 4 tools
ADD	active-directory	attack-26-adminsdholder-persistence-via-acl	Attack #26 — AdminSDHolder Persistence via ACL	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #26 — AdminSDHolder Persistence via ACL.md	advanced · 3 tools
ADD	active-directory	attack-11-golden-ticket-attack	Attack #11 — Golden Ticket Attack	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #11 — Golden Ticket Attack.md	advanced · 5 tools
ADD	active-directory	attack-12-silver-ticket-attack	Attack #12 — Silver Ticket Attack	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #12 — Silver Ticket Attack.md	advanced · 5 tools
ADD	active-directory	attack-13-diamond-ticket-attack	Attack #13 — Diamond Ticket Attack	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #13 — Diamond Ticket Attack.md	advanced · 4 tools
ADD	active-directory	attack-14-sapphire-ticket-attack	Attack #14 — Sapphire Ticket Attack	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #14 — Sapphire Ticket Attack.md	advanced · 4 tools
ADD	active-directory	attack-15-unconstrained-delegation-abuse	Attack #15 — Unconstrained Delegation Abuse	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #15 — Unconstrained Delegation Abuse.md	advanced · 5 tools
ADD	active-directory	attack-16-constrained-delegation-abuse-s4u2proxy	Attack #16 — Constrained Delegation Abuse (S4U2Proxy)	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #16 — Constrained Delegation Abuse (S4U2Proxy).md	advanced · 5 tools
ADD	active-directory	attack-17-resource-based-constrained-delegation-rbcd	Attack #17 — Resource-Based Constrained Delegation (RBCD)	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #17 — Resource-Based Constrained Delegation (RBCD).md	advanced · 5 tools
ADD	active-directory	attack-18-bronze-bit-attack-cve-2020-17049	Attack #18 — Bronze Bit Attack (CVE-2020-17049)	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #18 — Bronze Bit Attack (CVE-2020-17049).md	advanced · 3 tools
SKIP	active-directory	ad-pentest-tools-cheat-sheet	AD_Pentest_Tools_Cheat_Sheet	ActiveDirectory/AD_Pentest_Tools_Cheat_Sheet.md	dup of active-directory/ad-pentest-tools.md
ADD	active-directory	active-directory-cheat-sheet	Active-Directory_cheat_sheet	ActiveDirectory/Active-Directory_cheat_sheet.md	intermediate · 5 tools
ADD	active-directory	bloodhound-python	BloodHound-Python_	ActiveDirectory/BloodHound-Python_Cheatsheet.md	intermediate · 5 tools
SKIP	active-directory	bloodyad	BloodyAD	ActiveDirectory/BloodyAD.md	dup of active-directory/bloodyad.md
ADD	active-directory	certipy-ad	Certipy-ad	ActiveDirectory/Certipy-ad.md	intermediate · 4 tools
SKIP	active-directory	kerberoasting	Kerberoasting	ActiveDirectory/Kerberos/Kerberoasting Cheatsheet.md	dup of active-directory/kerberoasting.md
ADD	active-directory	kerberoasting-local-on-host	Kerberoasting — Local On-Host	ActiveDirectory/Kerberos/Kerberoasting — Local On-Host Cheatsheet.md	advanced · 5 tools
SKIP	active-directory	silver-ticket-attack	Silver Ticket Attack	ActiveDirectory/Kerberos/🥈 Silver Ticket Attack Cheatsheet.md	dup of active-directory/attack-12-silver-ticket-attack.md (new)
SKIP	active-directory	kerbrute	Kerbrute	ActiveDirectory/Kerbrute.md	dup of active-directory/kerbrute.md
ADD	active-directory	ldap-search	LDAP Search	ActiveDirectory/LDAP Search.md	intermediate · 3 tools
SKIP	active-directory	rubeus	Rubeus	ActiveDirectory/Rubeus.md	dup of active-directory/rubeus.md
ADD	active-directory	sharphound	SharpHound_	ActiveDirectory/SharpHound_Cheatsheet.md	intermediate · 5 tools
SKIP	active-directory	sharpsploit	SharpSploit	ActiveDirectory/SharpSploit.md	dup of tools/sharpsploit.md
SKIP	active-directory	snaffler	Snaffler	ActiveDirectory/Snaffler.md	dup of tools/snaffler.md
ADD	active-directory	bloodhound-ce-python	bloodhound-ce-python	ActiveDirectory/bloodhound-ce-python-cheatsheet.md	intermediate · 4 tools
ADD	active-directory	faketime	faketime	ActiveDirectory/faketime-cheatsheet.md	intermediate · 5 tools
ADD	active-directory	ldapdomaindump	ldapdomaindump	ActiveDirectory/ldapdomaindump.md	intermediate · 5 tools
SKIP				Attack-Flow-Guide.md	non-sheet (meta/index/roadmap)
SKIP				CPTS-Exam-Attack-Flow.md	non-sheet (meta/index/roadmap)
SKIP				CPTS-Exam-Most-Used-Commands.md	non-sheet (meta/index/roadmap)
SKIP	cryptography	gpg-cheatsheet	GPG - Cheatsheet	Cryptography/GPG - Cheatsheet markdown.md	dup of cryptography/gpg.md
SKIP	cryptography	gog	gog	Cryptography/gog.md	dup of cryptography/gpg.md
SKIP	dfir	forensics	Forensics	DFIR/Forensics Cheatsheet.md	dup of dfir/forensics.md
SKIP	dfir	recmd-fullguide	RECmd - FullGuide	DFIR/RECmd - FullGuide.md	dup of dfir/recmd.md
